"Index","TDate","Expiry","Open","High","Low","Close","LTP","SettleP","NumCont","Turnov","OI","CinOI","UndVal","VWAP","Daydiff","Range","Op2Hi","Op2Lo","Range16","Range382","Range40","VAhigh","VAlow","Odist","Odist50","VWAP12","HWAP","LWAP","YHighless40","YLowplus40","BCF","SCF","Observ","NextOpen","Oplus18","Ominus18","FstminClose","OpenGap","Bullhk","Bearhk","Inside","Narrow"
"NIFTY",2003-12-26,2004-01-29,1806,1841.25,1802,1837.1,1841,1837.1,60931,222410.33,6498400,442600,1837.05,1825.1,31.0999999999999,39.25,35.25,4,6.28,14.9935,15.7,1834.97,1808.28,0,0,1837.1,1840.0935,1810.1065,1825.55,1817.7,1856.2435,1787.0065,"Comments",0,1824,1788,0,0,"0","0","0","0"
"NIFTY",2003-12-29,2004-01-29,1843.7,1883,1843.7,1877.85,1882.4,1877.85,63954,238638.54,6950400,452000,1874.05,1865.7,34.1499999999999,39.3,39.3,0,6.28799999999999,15.0126,15.72,1876.712,1849.988,0,0,1877.7,1880.7126,1850.6874,1867.28,1859.42,1898.0126,1828.6874,"Comments",0,1861.7,1825.7,0,6.60000000000014,"BL1","0","0","0"
"NIFTY",2003-12-30,2004-01-29,1882.8,1918.4,1865.5,1879.25,1879,1879.25,128573,485784.14,6937400,-13000,1873.25,1889.14,-3.54999999999995,52.9000000000001,35.6000000000001,17.3,8.46400000000001,20.2078,21.16,1909.936,1873.964,0,0,1901.14,1909.3478,1868.9322,1897.24,1886.66,1938.6078,1845.2922,"Comments",0,1900.8,1864.8,0,4.95000000000005,"0","0","0","0"
"NIFTY",2003-12-31,2004-01-29,1881.9,1899.8,1874,1888.3,1889.3,1888.3,94181,355761.2,7294000,356600,1879.75,1888.71,6.39999999999986,25.8,17.8999999999999,7.90000000000009,4.12799999999999,9.85559999999998,10.32,1895.672,1878.128,0,0,1900.71,1898.5656,1878.8544,1889.48,1884.32,1909.6556,1864.1444,"Comments",0,1899.9,1863.9,0,2.65000000000009,"BL2","0","1","0"
"NIFTY",2004-01-01,2004-01-29,1894,1928,1890.1,1925.3,1927,1925.3,74471,285129.99,7422600,128600,1912.25,1914.37,31.3,37.9000000000001,34,3.90000000000009,6.06400000000001,14.4778,15.16,1921.936,1896.164,0,0,1926.37,1928.8478,1899.8922,1912.84,1905.26,1942.4778,1875.6222,"Comments",0,1912,1876,0,5.70000000000005,"BL3","0","0","0"
"NIFTY",2004-01-02,2004-01-29,1929.5,1961,1929.5,1950.8,1960.55,1950.8,73078,283709.53,7770000,347400,1946.05,1941.14,21.3,31.5,31.5,0,5.04,12.033,12.6,1955.96,1934.54,0,0,1953.14,1953.173,1929.107,1948.4,1942.1,1973.033,1917.467,"Comments",0,1947.5,1911.5,0,4.20000000000005,"BL4","0","0","0"
"NIFTY",2004-01-05,2004-01-29,1962.8,1969.75,1931,1957.15,1951.2,1957.15,101796,397287.39,8339000,569000,1955,1951.39,-5.64999999999986,38.75,6.95000000000005,31.8,6.2,14.8025,15.5,1963.55,1937.2,0,0,1963.39,1966.1925,1936.5875,1954.25,1946.5,1984.5525,1916.1975,"Comments",0,1980.8,1944.8,0,12,"0","0","0","0"
"NIFTY",2004-01-06,2004-01-29,1958,1969,1905.5,1922.95,1919,1922.95,102425,398906.67,8545200,206200,1926.7,1947.31,-35.05,63.5,11,52.5,10.16,24.257,25.4,1958.84,1915.66,0,0,1959.31,1971.567,1923.053,1943.6,1930.9,1993.257,1881.243,"Comments",0,1976,1940,0,0.849999999999909,"0","BR1","0","0"
"NIFTY",2004-01-07,2004-01-29,1920,1934,1885,1927.2,1928.35,1927.2,143857,549831.82,8090600,-454600,1916.75,1911.04,7.20000000000005,49,14,35,7.84,18.718,19.6,1926.16,1892.84,0,0,1923.04,1929.758,1892.322,1914.4,1904.6,1952.718,1866.282,"Comments",0,1938,1902,0,-2.95000000000005,"0","0","0","0"
"NIFTY",2004-01-08,2004-01-29,1934.4,1988.9,1932,1982.6,1988.25,1982.6,85643,335523.13,7965400,-125200,1968.55,1958.85,48.1999999999998,56.9000000000001,54.5,2.40000000000009,9.10400000000002,21.7358,22.76,1979.796,1941.104,0,0,1970.85,1980.5858,1937.1142,1966.14,1954.76,2010.6358,1910.2642,"Comments",0,1952.4,1916.4,0,7.20000000000005,"BL1","0","0","0"
