2.734736842,2.993103448,3.255131579,2.771451613,,,0.069454305,2.67831E-05,0.065973407,0.051450522,,,Total,,,,,With-in,,
Fri,Sat,Sun,Thu,,,19,87,76,62,244,,,,,,,,,
3,3.35,1.01,4,,,,,Avg,2.998278689,,2.96291E-06,0.123707881,3.953252143,1.003445586,,0.070364543,0.127375149,5.040615807,1.509331139
3.5,4.08,1.66,3,,,,,,,,0.251724274,1.170120996,1.790989848,2.96291E-06,,0.585627701,1.181344114,2.544444754,0.052234365
1,2.75,3.5,2.71,,,,,,,,3.993117717,0.061642307,0.251724274,0.083104602,,3.009311911,0.059099287,0.059960544,0.003776301
4.3,2.23,3.31,3,,,1.319631791,0.002330131,5.013978956,3.189932379,,1.694478373,0.590252143,0.097170176,2.96291E-06,,2.450048753,0.582326873,0.003010544,0.052234365
3.25,7.58,3.61,3.4,,,,,,,,0.063363619,20.99217018,0.374202963,0.161380012,,0.265496122,21.03961998,0.125931596,0.395073075
4.73,3.18,4.71,1.83,,,,,,,,2.998858701,0.033022635,2.929989848,1.364875094,,3.981075069,0.034930321,2.116642123,0.886331139
4,2.34,2,5,,,,,,,,1.003445586,0.433330832,0.99656034,4.006888209,,1.600890859,0.426544114,1.57535528,4.966427914
1.5,2,3.12,2.03,,,,,,,,2.244839028,0.99656034,0.014816078,0.937563619,,1.524575069,0.986254459,0.018260544,0.549750494
3,2,1.96,5.17,,,,,,df,,2.96291E-06,0.99656034,1.078022635,4.716373455,,0.070364543,0.986254459,1.677365807,5.753034365
1.5,4.3,3.23,2,,,,SSC,9.525873257,3,3.175291086,2.244839028,1.694478373,0.053694766,0.99656034,,1.524575069,1.707978597,0.000631596,0.595137591
2.5,3,1.71,4,,,,SSE,455.6866038,240,1.898694182,0.248281651,2.96291E-06,1.659661979,1.003445586,,0.055101385,4.75624E-05,2.387431596,1.509331139
3,1.45,5,5.85,,,,,,,,2.96291E-06,2.397166897,4.006888209,8.132314438,,0.070364543,2.381168252,3.044565807,9.477460172
2.2,2.5,1.57,3,,,,SST,465.212477,,1.672355198,0.637248865,0.248281651,2.039980012,2.96291E-06,,0.28594349,0.243151011,2.839668438,0.052234365
3.48,3,3,1.5,,,,,,,,0.232055422,2.96291E-06,2.96291E-06,2.244839028,,0.555417175,4.75624E-05,0.065092123,1.616589204
1.92,2.45,3.02,1.8,,,,,,,,1.16268493,0.30060952,0.000471815,1.435871815,,0.663796122,0.294961356,0.055286859,0.943718236
3,3.27,3.92,2.92,,,,,,,,2.96291E-06,0.073832471,0.849570176,0.006127553,,0.070364543,0.0766717,0.442050017,0.022066623
1.58,3.6,1.67,2.31,,,,,,,,2.011514438,0.362068537,1.764324274,0.473727553,,1.333417175,0.368323424,2.512642123,0.212937591
2.5,2,3.71,1.68,,,,,,,,0.248281651,0.99656034,0.506547225,1.737858701,,0.055101385,0.986254459,0.20690528,1.191266623
2,3.07,3.5,2.5,,,,,,,,0.99656034,0.005143947,0.251724274,0.248281651,,0.539838227,0.00591308,0.059960544,0.073685978
